,ds,y
339,2018-07-20 00:00:00,201.95
340,2018-07-13 00:00:00,201.18
341,2018-07-13 00:00:00,201.18
342,2018-07-06 00:00:00,197.46
343,2018-07-06 00:00:00,197.46
344,2018-06-29 00:00:00,196.72
345,2018-06-29 00:00:00,196.72
346,2018-06-22 00:00:00,196.5
347,2018-06-22 00:00:00,196.5
348,2018-06-15 00:00:00,204.97
349,2018-06-15 00:00:00,204.97
350,2018-06-08 00:00:00,206.59
351,2018-06-08 00:00:00,206.59
352,2018-06-01 00:00:00,199.59
353,2018-06-01 00:00:00,199.59
354,2018-05-25 00:00:00,199.03
355,2018-05-25 00:00:00,199.03
356,2018-05-18 00:00:00,198.96
357,2018-05-18 00:00:00,198.96
358,2018-05-11 00:00:00,205.16
359,2018-05-11 00:00:00,205.16
360,2018-05-04 00:00:00,199.36
361,2018-05-04 00:00:00,199.36
362,2018-04-27 00:00:00,196.12
363,2018-04-27 00:00:00,196.12
364,2018-04-20 00:00:00,217.75
365,2018-04-20 00:00:00,217.75
366,2018-04-13 00:00:00,215.52
367,2018-04-13 00:00:00,215.52
368,2018-04-06 00:00:00,212.25
369,2018-04-06 00:00:00,212.25
370,2018-03-29 00:00:00,219.52
371,2018-03-29 00:00:00,219.52
372,2018-03-23 00:00:00,215.36
373,2018-03-23 00:00:00,215.36
374,2018-03-16 00:00:00,237.22
375,2018-03-16 00:00:00,237.22
376,2018-03-09 00:00:00,241.35
377,2018-03-09 00:00:00,241.35
378,2018-03-02 00:00:00,230.37
379,2018-03-02 00:00:00,230.37
380,2018-02-23 00:00:00,237.02
381,2018-02-23 00:00:00,237.02
382,2018-02-16 00:00:00,236.67
383,2018-02-16 00:00:00,236.67
384,2018-02-09 00:00:00,225.21
385,2018-02-09 00:00:00,225.21
386,2018-02-02 00:00:00,245.17
387,2018-02-02 00:00:00,245.17
388,2018-01-26 00:00:00,258.63
389,2018-01-26 00:00:00,258.63
390,2018-01-19 00:00:00,248.18
391,2018-01-19 00:00:00,248.18
392,2018-01-12 00:00:00,244.47
393,2018-01-12 00:00:00,244.47
394,2018-01-05 00:00:00,240.57
395,2018-01-05 00:00:00,240.57
