ticker,RMSE,MAPE,MSE,MAE
ALL,9.37879431906544,6.96256938044155,87.9617828793343,8.41917977851734
BA,22.805642574709,8.29765000504251,520.097333245381,18.5667545787075
KO,1.22746664862511,1.75298471971539,1.50667437348695,0.92473338880037
DOW,3.07654332484191,4.99147651589544,9.4651188296293,2.91059669494629
GS,13.8719058099834,3.55845384217754,192.429770801052,11.4017374995717
KHC,2.08123671729193,5.43525560415183,4.33154627340408,1.99833786964417
UNP,9.03391874226108,3.34690060465753,81.6116878417761,7.12513505902207
UPS,10.7023869866853,4.37150316668553,114.541087212771,8.28265270567777
UTX,2.72671886839735,2.71284896056299,7.43499578727414,2.02289132369192
UNH,39.7425904162042,9.33903219368859,1579.47349299017,36.1976274456894
USB,2.43800700303199,3.69858497095056,5.94387814683305,1.85671881157055
